word,phonemes,g2p_alignment
akrabnya,a ʔ r a b ɲ a,a}a k}ʔ r}r a}a b}b n|y}ɲ a}a
akreditasi,a ʔ r e d i t a s i,a}a k}ʔ r}r e}e d}d i}i t}t a}a s}s i}i
akrilik,a ʔ r i l i ʔ,a}a k}ʔ r}r i}i l}l i}i k}ʔ
akrobat,a ʔ r o b a t,a}a k}ʔ r}r o}o b}b a}a t}t
akrobatik,a ʔ r o b a t i ʔ,a}a k}ʔ r}r o}o b}b a}a t}t i}i k}ʔ
akronim,a ʔ r o n i m,a}a k}ʔ r}r o}o n}n i}i m}m
aksa,a ʔ s a,a}a k}ʔ s}s a}a
aksara,a ʔ s a r a,a}a k}ʔ s}s a}a r}r a}a
aksarawan,a ʔ s a r a w a n,a}a k}ʔ s}s a}a r}r a}a w}w a}a n}n
aksarawati,a ʔ s a r a w a t i,a}a k}ʔ s}s a}a r}r a}a w}w a}a t}t i}i
akselerasi,a ʔ s e l ə r a s i,a}a k}ʔ s}s e}e l}l e}ə r}r a}a s}s i}i
akselerator,a ʔ s e l ə r a t o r,a}a k}ʔ s}s e}e l}l e}ə r}r a}a t}t o}o r}r
aksen,a ʔ s e n,a}a k}ʔ s}s e}e n}n
aksentuasi,a ʔ s e n t u a s i,a}a k}ʔ s}s e}e n}n t}t u}u a}a s}s i}i
aksep,a ʔ s e p,a}a k}ʔ s}s e}e p}p
akseptabel,a ʔ s e p t a b ə l,a}a k}ʔ s}s e}e p}p t}t a}a b}b e}ə l}l
akseptasi,a ʔ s e p t a s i,a}a k}ʔ s}s e}e p}p t}t a}a s}s i}i
akseptor,a ʔ s e p t o r,a}a k}ʔ s}s e}e p}p t}t o}o r}r
akses,a ʔ s e s,a}a k}ʔ s}s e}e s}s
aksesibilitas,a ʔ s e s i b i l i t a s,a}a k}ʔ s}s e}e s}s i}i b}b i}i l}l i}i t}t a}a s}s
aksi,a ʔ s i,a}a k}ʔ s}s i}i
aksidental,a ʔ s i d e n t a l,a}a k}ʔ s}s i}i d}d e}e n}n t}t a}a l}l
aksioma,a ʔ s i o m a,a}a k}ʔ s}s i}i o}o m}m a}a
aksiomatis,a ʔ s i o m a t i s,a}a k}ʔ s}s i}i o}o m}m a}a t}t i}i s}s
aksis,a ʔ s i s,a}a k}ʔ s}s i}i s}s
akson,a ʔ s o n,a}a k}ʔ s}s o}o n}n
akta,a ʔ t a,a}a k}ʔ t}t a}a
aktentas,a ʔ t ə n t a s,a}a k}ʔ t}t e}ə n}n t}t a}a s}s
aktif,a ʔ t i f,a}a k}ʔ t}t i}i f}f
aktiva,a ʔ t i v a,a}a k}ʔ t}t i}i v}v a}a
aktivis,a ʔ t i v i s,a}a k}ʔ t}t i}i v}v i}i s}s
aktivitas,a ʔ t i v i t a s,a}a k}ʔ t}t i}i v}v i}i t}t a}a s}s
aktor,a ʔ t o r,a}a k}ʔ t}t o}o r}r
aktris,a ʔ t r i s,a}a k}ʔ t}t r}r i}i s}s
aktual,a ʔ t u a l,a}a k}ʔ t}t u}u a}a l}l
aktualisasi,a ʔ t u a l i s a s i,a}a k}ʔ t}t u}u a}a l}l i}i s}s a}a s}s i}i
aktuaria,a ʔ t u a r i a,a}a k}ʔ t}t u}u a}a r}r i}i a}a
aktuaris,a ʔ t u a r i s,a}a k}ʔ t}t u}u a}a r}r i}i s}s
aku,a k u,a}a k}k u}u
akuades,a k u a d e s,a}a k}k u}u a}a d}d e}e s}s
akuaduk,a k u a d u ʔ,a}a k}k u}u a}a d}d u}u k}ʔ
akuakultur,a k u a k u l t u r,a}a k}k u}u a}a k}k u}u l}l t}t u}u r}r
akuan,a k u a n,a}a k}k u}u a}a n}n
akuarel,a k u a r e l,a}a k}k u}u a}a r}r e}e l}l
akuarium,a k u a r i u m,a}a k}k u}u a}a r}r i}i u}u m}m
akui,a k u i,a}a k}k u}u i}i
akuifer,a k u i f e r,a}a k}k u}u i}i f}f e}e r}r
akuisisi,a k u i s i s i,a}a k}k u}u i}i s}s i}i s}s i}i
akuk,a k u ʔ,a}a k}k u}u k}ʔ
akulah,a k u l a h,a}a k}k u}u l}l a}a h}h
akulturasi,a k u l t u r a s i,a}a k}k u}u l}l t}t u}u r}r a}a s}s i}i
akumulasi,a k u m u l a s i,a}a k}k u}u m}m u}u l}l a}a s}s i}i
akumulatif,a k u m u l a t i f,a}a k}k u}u m}m u}u l}l a}a t}t i}i f}f
akumulator,a k u m u l a t o r,a}a k}k u}u m}m u}u l}l a}a t}t o}o r}r
akun,a k u n,a}a k}k u}u n}n
akuntan,a k u n t a n,a}a k}k u}u n}n t}t a}a n}n
akuntansi,a k u n t a n s i,a}a k}k u}u n}n t}t a}a n}n s}s i}i
akupunktur,a k u p u n ʔ t u r,a}a k}k u}u p}p u}u n}n k}ʔ t}t u}u r}r
akupunkturis,a k u p u n ʔ t u r i s,a}a k}k u}u p}p u}u n}n k}ʔ t}t u}u r}r i}i s}s
akur,a k u r,a}a k}k u}u r}r
akurasi,a k u r a s i,a}a k}k u}u r}r a}a s}s i}i
akurat,a k u r a t,a}a k}k u}u r}r a}a t}t
akusatif,a k u s a t i f,a}a k}k u}u s}s a}a t}t i}i f}f
akustik,a k u s t i ʔ,a}a k}k u}u s}s t}t i}i k}ʔ
akustika,a k u s t i k a,a}a k}k u}u s}s t}t i}i k}k a}a
akut,a k u t,a}a k}k u}u t}t
akwal,a ʔ w a l,a}a k}ʔ w}w a}a l}l
al,a l,a}a l}l
al-ur'an,a l - u r ʔ a n,a}a l}l -}- u}u r}r '}ʔ a}a n}n
ala,a l a,a}a l}l a}a
alabangka,a l a b a ŋ k a,a}a l}l a}a b}b a}a n|g}ŋ k}k a}a
alabio,a l a b i o,a}a l}l a}a b}b i}i o}o
alaf,a l a f,a}a l}l a}a f}f
alah,a l a h,a}a l}l a}a h}h
alahan,a l a h a n,a}a l}l a}a h}h a}a n}n
alai,a l a i,a}a l}l a}a i}i
alaihi,a l a i h i,a}a l}l a}a i}i h}h i}i
alaika,a l a i k a,a}a l}l a}a i}i k}k a}a
alaikum,a l a i k u m,a}a l}l a}a i}i k}k u}u m}m
alak,a l a ʔ,a}a l}l a}a k}ʔ
alam,a l a m,a}a l}l a}a m}m
alamak,a l a m a ʔ,a}a l}l a}a m}m a}a k}ʔ
alamanda,a l a m a n d a,a}a l}l a}a m}m a}a n}n d}d a}a
alamas,a l a m a s,a}a l}l a}a m}m a}a s}s
alamat,a l a m a t,a}a l}l a}a m}m a}a t}t
alamatulhayat,a l a m a t u l h a j a t,a}a l}l a}a m}m a}a t}t u}u l}l h}h a}a y}j a}a t}t
alami,a l a m i,a}a l}l a}a m}m i}i
alamiah,a l a m i a h,a}a l}l a}a m}m i}i a}a h}h
alamin,a l a m i n,a}a l}l a}a m}m i}i n}n
alamnya,a l a m ɲ a,a}a l}l a}a m}m n|y}ɲ a}a
alan,a l a n,a}a l}l a}a n}n
alang,a l a ŋ,a}a l}l a}a n|g}ŋ
alangan,a l a ŋ a n,a}a l}l a}a n|g}ŋ a}a n}n
alangkah,a l a ŋ k a h,a}a l}l a}a n|g}ŋ k}k a}a h}h
alap,a l a p,a}a l}l a}a p}p
alarm,a l a r m,a}a l}l a}a r}r m}m
alas,a l a s,a}a l}l a}a s}s
alasan,a l a s a n,a}a l}l a}a s}s a}a n}n
alat,a l a t,a}a l}l a}a t}t
alau,a l a u,a}a l}l a}a u}u
albas,a l b a s,a}a l}l b}b a}a s}s
albino,a l b i n o,a}a l}l b}b i}i n}n o}o
album,a l b u m,a}a l}l b}b u}u m}m
albumen,a l b u m e n,a}a l}l b}b u}u m}m e}e n}n
alegori,a l e ɡ o r i,a}a l}l e}e g}ɡ o}o r}r i}i
alegoris,a l e ɡ o r i s,a}a l}l e}e g}ɡ o}o r}r i}i s}s
alem,a l ə m,a}a l}l e}ə m}m
aleman,a l ə m a n,a}a l}l e}ə m}m a}a n}n
alergen,a l e r ɡ e n,a}a l}l e}e r}r g}ɡ e}e n}n
alergi,a l e r ɡ i,a}a l}l e}e r}r g}ɡ i}i
alergis,a l e r ɡ i s,a}a l}l e}e r}r g}ɡ i}i s}s
alf,a l f,a}a l}l f}f
alfa,a l f a,a}a l}l f}f a}a
alfabet,a l f a b e t,a}a l}l f}f a}a b}b e}e t}t
alfabetis,a l f a b e t i s,a}a l}l f}f a}a b}b e}e t}t i}i s}s
alfu,a l f u,a}a l}l f}f u}u
alga,a l ɡ a,a}a l}l g}ɡ a}a
algojo,a l ɡ o dʒ o,a}a l}l g}ɡ o}o j}dʒ o}o
algoritma,a l ɡ o r i t m a,a}a l}l g}ɡ o}o r}r i}i t}t m}m a}a
algoritme,a l ɡ o r i t m ə,a}a l}l g}ɡ o}o r}r i}i t}t m}m e}ə
alhamdulillah,a l h a m d u l i l l a h,a}a l}l h}h a}a m}m d}d u}u l}l i}i l}l l}l a}a h}h
alhasil,a l h a s i l,a}a l}l h}h a}a s}s i}i l}l
ali,a l i,a}a l}l i}i
aliah,a l i a h,a}a l}l i}i a}a h}h
aliansi,a l i a n s i,a}a l}l i}i a}a n}n s}s i}i
alias,a l i a s,a}a l}l i}i a}a s}s
alibi,a l i b i,a}a l}l i}i b}b i}i
alienasi,a l i e n a s i,a}a l}l i}i e}e n}n a}a s}s i}i
alif,a l i f,a}a l}l i}i f}f
alif-ba-ta,a l i f - b a - t a,a}a l}l i}i f}f -}- b}b a}a -}- t}t a}a
alifbata,a l i f b a t a,a}a l}l i}i f}f b}b a}a t}t a}a
alih,a l i h,a}a l}l i}i h}h
alihan,a l i h a n,a}a l}l i}i h}h a}a n}n
alik,a l i ʔ,a}a l}l i}i k}ʔ
alim,a l i m,a}a l}l i}i m}m
alimbubu,a l i m b u b u,a}a l}l i}i m}m b}b u}u b}b u}u
alimentasi,a l i m e n t a s i,a}a l}l i}i m}m e}e n}n t}t a}a s}s i}i
alimiah,a l i m i a h,a}a l}l i}i m}m i}i a}a h}h
alimiat,a l i m i a t,a}a l}l i}i m}m i}i a}a t}t
alin,a l i n,a}a l}l i}i n}n
alinea,a l i n e a,a}a l}l i}i n}n e}e a}a
aling,a l i ŋ,a}a l}l i}i n|g}ŋ
alingan,a l i ŋ a n,a}a l}l i}i n|g}ŋ a}a n}n
alip,a l i p,a}a l}l i}i p}p
alir,a l i r,a}a l}l i}i r}r
aliran,a l i r a n,a}a l}l i}i r}r a}a n}n
alis,a l i s,a}a l}l i}i s}s
alit,a l i t,a}a l}l i}i t}t
aliterasi,a l i t ə r a s i,a}a l}l i}i t}t e}ə r}r a}a s}s i}i
aljabar,a l dʒ a b a r,a}a l}l j}dʒ a}a b}b a}a r}r
alkah,a l k a h,a}a l}l k}k a}a h}h
alkali,a l k a l i,a}a l}l k}k a}a l}l i}i
alkaloid,a l k a l o i d,a}a l}l k}k a}a l}l o}o i}i d}d
alkamar,a l k a m a r,a}a l}l k}k a}a m}m a}a r}r
alkari,a l k a r i,a}a l}l k}k a}a r}r i}i
alkasyaf,a l k a ʃ a f,a}a l}l k}k a}a s|y}ʃ a}a f}f
alkausar,a l k a u s a r,a}a l}l k}k a}a u}u s}s a}a r}r
alkena,a l k e n a,a}a l}l k}k e}e n}n a}a
alkisah,a l k i s a h,a}a l}l k}k i}i s}s a}a h}h
alkohol,a l k o h o l,a}a l}l k}k o}o h}h o}o l}l
alkoholisme,a l k o h o l i s m ə,a}a l}l k}k o}o h}h o}o l}l i}i s}s m}m e}ə
alku,a l k u,a}a l}l k}k u}u
allah,a l l a h,a}a l}l l}l a}a h}h
almalun,a l m a l u n,a}a l}l m}m a}a l}l u}u n}n
almamater,a l m a m a t e r,a}a l}l m}m a}a m}m a}a t}t e}e r}r
almanak,a l m a n a ʔ,a}a l}l m}m a}a n}n a}a k}ʔ
almarhum,a l m a r h u m,a}a l}l m}m a}a r}r h}h u}u m}m
almarhumah,a l m a r h u m a h,a}a l}l m}m a}a r}r h}h u}u m}m a}a h}h
almari,a l m a r i,a}a l}l m}m a}a r}r i}i
almuazam,a l m u a z a m,a}a l}l m}m u}u a}a z}z a}a m}m
almukhlis,a l m u x l i s,a}a l}l m}m u}u k|h}x l}l i}i s}s
alofon,a l o f o n,a}a l}l o}o f}f o}o n}n
alokasi,a l o k a s i,a}a l}l o}o k}k a}a s}s i}i
alomorf,a l o m o r f,a}a l}l o}o m}m o}o r}r f}f
alon,a l o n,a}a l}l o}o n}n
alot,a l o t,a}a l}l o}o t}t
alpa,a l p a,a}a l}l p}p a}a
alpaka,a l p a k a,a}a l}l p}p a}a k}k a}a
alperes,a l p e r e s,a}a l}l p}p e}e r}r e}e s}s
alpukah,a l p u k a h,a}a l}l p}p u}u k}k a}a h}h
altar,a l t a r,a}a l}l t}t a}a r}r
alternasi,a l t ə r n a s i,a}a l}l t}t e}ə r}r n}n a}a s}s i}i
alternatif,a l t e r n a t i f,a}a l}l t}t e}e r}r n}n a}a t}t i}i f}f
alternator,a l t ə r n a t o r,a}a l}l t}t e}ə r}r n}n a}a t}t o}o r}r
altimeter,a l t i m e t ə r,a}a l}l t}t i}i m}m e}e t}t e}ə r}r
alto,a l t o,a}a l}l t}t o}o
altruis,a l t r u i s,a}a l}l t}t r}r u}u i}i s}s
altruisme,a l t r u i s m ə,a}a l}l t}t r}r u}u i}i s}s m}m e}ə
altruistis,a l t r u i s t i s,a}a l}l t}t r}r u}u i}i s}s t}t i}i s}s
alu,a l u,a}a l}l u}u
aluan,a l u a n,a}a l}l u}u a}a n}n
alum,a l u m,a}a l}l u}u m}m
aluminium,a l u m i n i u m,a}a l}l u}u m}m i}i n}n i}i u}u m}m
alumni,a l u m n i,a}a l}l u}u m}m n}n i}i
alumnus,a l u m n u s,a}a l}l u}u m}m n}n u}u s}s
alun,a l u n,a}a l}l u}u n}n
alunan,a l u n a n,a}a l}l u}u n}n a}a n}n
alung,a l u ŋ,a}a l}l u}u n|g}ŋ
alup,a l u p,a}a l}l u}u p}p
alur,a l u r,a}a l}l u}u r}r
aluran,a l u r a n,a}a l}l u}u r}r a}a n}n
alurnya,a l u r ɲ a,a}a l}l u}u r}r n|y}ɲ a}a
aluvial,a l u v i a l,a}a l}l u}u v}v i}i a}a l}l
aluvium,a l u v i u m,a}a l}l u}u v}v i}i u}u m}m
alveolus,a l v e o l u s,a}a l}l v}v e}e o}o l}l u}u s}s
alwah,a l w a h,a}a l}l w}w a}a h}h
alwasi,a l w a s i,a}a l}l w}w a}a s}s i}i
am,a m,a}a m}m
ama,a m a,a}a m}m a}a
amabakdu,a m a b a ʔ d u,a}a m}m a}a b}b a}a k}ʔ d}d u}u
amah,a m a h,a}a m}m a}a h}h
amal,a m a l,a}a m}m a}a l}l
amalan,a m a l a n,a}a m}m a}a l}l a}a n}n
amalannya,a m a l a n ɲ a,a}a m}m a}a l}l a}a n}n n|y}ɲ a}a
amalgam,a m a l ɡ a m,a}a m}m a}a l}l g}ɡ a}a m}m
amalgamasi,a m a l ɡ a m a s i,a}a m}m a}a l}l g}ɡ a}a m}m a}a s}s i}i
amali,a m a l i,a}a m}m a}a l}l i}i
amaliah,a m a l i a h,a}a m}m a}a l}l i}i a}a h}h
aman,a m a n,a}a m}m a}a n}n
amanah,a m a n a h,a}a m}m a}a n}n a}a h}h
amanat,a m a n a t,a}a m}m a}a n}n a}a t}t
amandel,a m a n d ə l,a}a m}m a}a n}n d}d e}ə l}l
amang,a m a ŋ,a}a m}m a}a n|g}ŋ
amantu,a m a n t u,a}a m}m a}a n}n t}t u}u
amar,a m a r,a}a m}m a}a r}r
amarah,a m a r a h,a}a m}m a}a r}r a}a h}h
amarahnya,a m a r a h ɲ a,a}a m}m a}a r}r a}a h}h n|y}ɲ a}a
amaran,a m a r a n,a}a m}m a}a r}r a}a n}n
amat,a m a t,a}a m}m a}a t}t
amatan,a m a t a n,a}a m}m a}a t}t a}a n}n
amatir,a m a t i r,a}a m}m a}a t}t i}i r}r
amatirisme,a m a t i r i s m ə,a}a m}m a}a t}t i}i r}r i}i s}s m}m e}ə
amatlah,a m a t l a h,a}a m}m a}a t}t l}l a}a h}h
amatur,a m a t u r,a}a m}m a}a t}t u}u r}r
ambah,a m b a h,a}a m}m b}b a}a h}h
ambai,a m b a i,a}a m}m b}b a}a i}i
ambaian,a m b a i a n,a}a m}m b}b a}a i}i a}a n}n
ambak,a m b a ʔ,a}a m}m b}b a}a k}ʔ
ambal,a m b a l,a}a m}m b}b a}a l}l
ambalan,a m b a l a n,a}a m}m b}b a}a l}l a}a n}n
ambang,a m b a ŋ,a}a m}m b}b a}a n|g}ŋ
ambar,a m b a r,a}a m}m b}b a}a r}r
ambarau,a m b a r a u,a}a m}m b}b a}a r}r a}a u}u
ambasade,a m b a s a d ə,a}a m}m b}b a}a s}s a}a d}d e}ə
ambasador,a m b a s a d o r,a}a m}m b}b a}a s}s a}a d}d o}o r}r
ambau,a m b a u,a}a m}m b}b a}a u}u
ambeien,a m b e i ə n,a}a m}m b}b e}e i}i e}ə n}n
ambek,a m b ə ʔ,a}a m}m b}b e}ə k}ʔ
ambekan,a m b ə k a n,a}a m}m b}b e}ə k}k a}a n}n
ambet,a m b ə t,a}a m}m b}b e}ə t}t
ambigu,a m b i ɡ u,a}a m}m b}b i}i g}ɡ u}u
ambiguitas,a m b i ɡ u i t a s,a}a m}m b}b i}i g}ɡ u}u i}i t}t a}a s}s
ambil,a m b i l,a}a m}m b}b i}i l}l
ambilan,a m b i l a n,a}a m}m b}b i}i l}l a}a n}n
ambilkan,a m b i l k a n,a}a m}m b}b i}i l}l k}k a}a n}n
ambin,a m b i n,a}a m}m b}b i}i n}n
ambinan,a m b i n a n,a}a m}m b}b i}i n}n a}a n}n
ambing,a m b i ŋ,a}a m}m b}b i}i n|g}ŋ
ambingkan,a m b i ŋ k a n,a}a m}m b}b i}i n|g}ŋ k}k a}a n}n
ambisi,a m b i s i,a}a m}m b}b i}i s}s i}i
ambisius,a m b i s i u s,a}a m}m b}b i}i s}s i}i u}u s}s
ambivalen,a m b i v a l e n,a}a m}m b}b i}i v}v a}a l}l e}e n}n
ambivalensi,a m b i v a l e n s i,a}a m}m b}b i}i v}v a}a l}l e}e n}n s}s i}i
amblas,a m b l a s,a}a m}m b}b l}l a}a s}s
amblek,a m b l ə ʔ,a}a m}m b}b l}l e}ə k}ʔ
ambles,a m b l ə s,a}a m}m b}b l}l e}ə s}s
amboi,a m b o i,a}a m}m b}b o}o i}i
ambreng,a m b r ə ŋ,a}a m}m b}b r}r e}ə n|g}ŋ
ambrol,a m b r o l,a}a m}m b}b r}r o}o l}l
ambruk,a m b r u ʔ,a}a m}m b}b r}r u}u k}ʔ
ambu,a m b u,a}a m}m b}b u}u
ambuh,a m b u h,a}a m}m b}b u}u h}h
ambul,a m b u l,a}a m}m b}b u}u l}l
ambulans,a m b u l a n s,a}a m}m b}b u}u l}l a}a n}n s}s
ambung,a m b u ŋ,a}a m}m b}b u}u n|g}ŋ
ambur,a m b u r,a}a m}m b}b u}u r}r
amburadul,a m b u r a d u l,a}a m}m b}b u}u r}r a}a d}d u}u l}l
ambyar,a m b j a r,a}a m}m b}b y}j a}a r}r
ameba,a m e b a,a}a m}m e}e b}b a}a
amebiasis,a m e b i a s i s,a}a m}m e}e b}b i}i a}a s}s i}i s}s
ameliorasi,a m e l i o r a s i,a}a m}m e}e l}l i}i o}o r}r a}a s}s i}i
amen,a m e n,a}a m}m e}e n}n
amendemen,a m e n d ə m e n,a}a m}m e}e n}n d}d e}ə m}m e}e n}n
amerta,a m ə r t a,a}a m}m e}ə r}r t}t a}a
ametis,a m ə t i s,a}a m}m e}ə t}t i}i s}s
amfetamin,a m f e t a m i n,a}a m}m f}f e}e t}t a}a m}m i}i n}n
amfibi,a m f i b i,a}a m}m f}f i}i b}b i}i
amfiteater,a m f i t e a t ə r,a}a m}m f}f i}i t}t e}e a}a t}t e}ə r}r
ami,a m i,a}a m}m i}i
amikal,a m i k a l,a}a m}m i}i k}k a}a l}l
amil,a m i l,a}a m}m i}i l}l
amilase,a m i l a s ə,a}a m}m i}i l}l a}a s}s e}ə
amin,a m i n,a}a m}m i}i n}n
amina,a m i n a,a}a m}m i}i n}n a}a
amino,a m i n o,a}a m}m i}i n}n o}o
amir,a m i r,a}a m}m i}i r}r
amirulbahar,a m i r u l b a h a r,a}a m}m i}i r}r u}u l}l b}b a}a h}h a}a r}r
amirulhaj,a m i r u l h a dʒ,a}a m}m i}i r}r u}u l}l h}h a}a j}dʒ
amirulmukminin,a m i r u l m u ʔ m i n i n,a}a m}m i}i r}r u}u l}l m}m u}u k}ʔ m}m i}i n}n i}i n}n
amis,a m i s,a}a m}m i}i s}s
amit,a m i t,a}a m}m i}i t}t
amko,a m k o,a}a m}m k}k o}o
amnesia,a m n e s i a,a}a m}m n}n e}e s}s i}i a}a
amnesti,a m n e s t i,a}a m}m n}n e}e s}s t}t i}i
amoi,a m o i,a}a m}m o}o i}i
amonia,a m o n i a,a}a m}m o}o n}n i}i a}a
amonium,a m o n i u m,a}a m}m o}o n}n i}i u}u m}m
amoral,a m o r a l,a}a m}m o}o r}r a}a l}l
amorf,a m o r f,a}a m}m o}o r}r f}f
amortisasi,a m o r t i s a s i,a}a m}m o}o r}r t}t i}i s}s a}a s}s i}i
ampai,a m p a i,a}a m}m p}p a}a i}i
ampaian,a m p a i a n,a}a m}m p}p a}a i}i a}a n}n
ampang,a m p a ŋ,a}a m}m p}p a}a n|g}ŋ
ampas,a m p a s,a}a m}m p}p a}a s}s
ampat,a m p a t,a}a m}m p}p a}a t}t
ampe,a m p e,a}a m}m p}p e}e
ampean,a m p e a n,a}a m}m p}p e}e a}a n}n
ampek,a m p ə ʔ,a}a m}m p}p e}ə k}ʔ
ampel,a m p e l,a}a m}m p}p e}e l}l
ampela,a m p ə l a,a}a m}m p}p e}ə l}l a}a
ampelas,a m p ə l a s,a}a m}m p}p e}ə l}l a}a s}s
ampere,a m p e r ə,a}a m}m p}p e}e r}r e}ə
amplifikasi,a m p l i f i k a s i,a}a m}m p}p l}l i}i f}f i}i k}k a}a s}s i}i
amplitudo,a m p l i t u d o,a}a m}m p}p l}l i}i t}t u}u d}d o}o
amplop,a m p l o p,a}a m}m p}p l}l o}o p}p
ampo,a m p o,a}a m}m p}p o}o
amprok,a m p r o ʔ,a}a m}m p}p r}r o}o k}ʔ
ampu,a m p u,a}a m}m p}p u}u
ampuh,a m p u h,a}a m}m p}p u}u h}h
ampuk,a m p u ʔ,a}a m}m p}p u}u k}ʔ
ampul,a m p u l,a}a m}m p}p u}u l}l
ampun,a m p u n,a}a m}m p}p u}u n}n
ampunan,a m p u n a n,a}a m}m p}p u}u n}n a}a n}n
amput,a m p u t,a}a m}m p}p u}u t}t
amputan,a m p u t a n,a}a m}m p}p u}u t}t a}a n}n
amputasi,a m p u t a s i,a}a m}m p}p u}u t}t a}a s}s i}i
amra,a m r a,a}a m}m r}r a}a
amri,a m r i,a}a m}m r}r i}i
amril,a m r i l,a}a m}m r}r i}i l}l
amsal,a m s a l,a}a m}m s}s a}a l}l
amtenar,a m t ə n a r,a}a m}m t}t e}ə n}n a}a r}r
amuh,a m u h,a}a m}m u}u h}h
amuk,a m u ʔ,a}a m}m u}u k}ʔ
amukan,a m u k a n,a}a m}m u}u k}k a}a n}n
amulet,a m u l e t,a}a m}m u}u l}l e}e t}t
amung,a m u ŋ,a}a m}m u}u n|g}ŋ
amunisi,a m u n i s i,a}a m}m u}u n}n i}i s}s i}i
ana,a n a,a}a n}n a}a
anabolisme,a n a b o l i s m ə,a}a n}n a}a b}b o}o l}l i}i s}s m}m e}ə
anaerob,a n a e r o b,a}a n}n a}a e}e r}r o}o b}b
anaerobik,a n a e r o b i ʔ,a}a n}n a}a e}e r}r o}o b}b i}i k}ʔ
anafilaksis,a n a f i l a ʔ s i s,a}a n}n a}a f}f i}i l}l a}a k}ʔ s}s i}i s}s
anafora,a n a f o r a,a}a n}n a}a f}f o}o r}r a}a
anafrodisiak,a n a f r o d i s i a ʔ,a}a n}n a}a f}f r}r o}o d}d i}i s}s i}i a}a k}ʔ
anai,a n a i,a}a n}n a}a i}i
anak,a n a ʔ,a}a n}n a}a k}ʔ
anakan,a n a k a n,a}a n}n a}a k}k a}a n}n
anakku,a n a ʔ k u,a}a n}n a}a k}ʔ k}k u}u
anakmu,a n a ʔ m u,a}a n}n a}a k}ʔ m}m u}u
anaknya,a n a ʔ ɲ a,a}a n}n a}a k}ʔ n|y}ɲ a}a
anakronisme,a n a ʔ r o n i s m ə,a}a n}n a}a k}ʔ r}r o}o n}n i}i s}s m}m e}ə
anakronistis,a n a ʔ r o n i s t i s,a}a n}n a}a k}ʔ r}r o}o n}n i}i s}s t}t i}i s}s
anal,a n a l,a}a n}n a}a l}l
analekta,a n a l e ʔ t a,a}a n}n a}a l}l e}e k}ʔ t}t a}a
analgesik,a n a l ɡ e s i ʔ,a}a n}n a}a l}l g}ɡ e}e s}s i}i k}ʔ
analis,a n a l i s,a}a n}n a}a l}l i}i s}s
analisis,a n a l i s i s,a}a n}n a}a l}l i}i s}s i}i s}s
analitis,a n a l i t i s,a}a n}n a}a l}l i}i t}t i}i s}s
analog,a n a l o ɡ,a}a n}n a}a l}l o}o g}ɡ
analogi,a n a l o ɡ i,a}a n}n a}a l}l o}o g}ɡ i}i
ananda,a n a n d a,a}a n}n a}a n}n d}d a}a
anang,a n a ŋ,a}a n}n a}a n|g}ŋ
anani,a n a n i,a}a n}n a}a n}n i}i
anarki,a n a r k i,a}a n}n a}a r}r k}k i}i
anarkis,a n a r k i s,a}a n}n a}a r}r k}k i}i s}s
anarkisme,a n a r k i s m ə,a}a n}n a}a r}r k}k i}i s}s m}m e}ə
anarkistis,a n a r k i s t i s,a}a n}n a}a r}r k}k i}i s}s t}t i}i s}s
anas,a n a s,a}a n}n a}a s}s
anasional,a n a s i o n a l,a}a n}n a}a s}s i}i o}o n}n a}a l}l
anasir,a n a s i r,a}a n}n a}a s}s i}i r}r
anatomi,a n a t o m i,a}a n}n a}a t}t o}o m}m i}i
anatomis,a n a t o m i s,a}a n}n a}a t}t o}o m}m i}i s}s
anbia,a n b i a,a}a n}n b}b i}i a}a
anca,a n tʃ a,a}a n}n c}tʃ a}a
ancai,a n tʃ a i,a}a n}n c}tʃ a}a i}i
ancak,a n tʃ a ʔ,a}a n}n c}tʃ a}a k}ʔ
ancala,a n tʃ a l a,a}a n}n c}tʃ a}a l}l a}a
ancam,a n tʃ a m,a}a n}n c}tʃ a}a m}m
ancaman,a n tʃ a m a n,a}a n}n c}tʃ a}a m}m a}a n}n
ancang,a n tʃ a ŋ,a}a n}n c}tʃ a}a n|g}ŋ
ancangan,a n tʃ a ŋ a n,a}a n}n c}tʃ a}a n|g}ŋ a}a n}n
ancar,a n tʃ a r,a}a n}n c}tʃ a}a r}r
ancoa,a n tʃ o a,a}a n}n c}tʃ o}o a}a
ancol,a n tʃ o l,a}a n}n c}tʃ o}o l}l
ancuk,a n tʃ u ʔ,a}a n}n c}tʃ u}u k}ʔ
anda,a n d a,a}a n}n d}d a}a
andai,a n d a i,a}a n}n d}d a}a i}i
andaian,a n d a i a n,a}a n}n d}d a}a i}i a}a n}n
andainya,a n d a i ɲ a,a}a n}n d}d a}a i}i n|y}ɲ a}a
andak,a n d a ʔ,a}a n}n d}d a}a k}ʔ
andaka,a n d a k a,a}a n}n d}d a}a k}k a}a
andal,a n d a l,a}a n}n d}d a}a l}l
andalan,a n d a l a n,a}a n}n d}d a}a l}l a}a n}n
andalas,a n d a l a s,a}a n}n d}d a}a l}l a}a s}s
andalkan,a n d a l k a n,a}a n}n d}d a}a l}l k}k a}a n}n
andam,a n d a m,a}a n}n d}d a}a m}m
andaman,a n d a m a n,a}a n}n d}d a}a m}m a}a n}n
